Timestamp,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,AttitudePitch,AttitudeRoll,AttitudeYaw,GravitationalAccelerationX,GravitationalAccelerationY,GravitationalAccelerationZ,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ
1761644371.3716068,-0.011561296297023795,-0.01814103352527391,-0.5169180413542915,0.855764558456172,-0.0010326403890781805,-0.04301467880601413,-1.0867952579880997,-0.04300137981772423,0.0010326171759516,-0.9990744590759277,-0.03940090537071228,-0.02958913892507553,0.08747029304504395,-0.13618287444114685,0.05130826309323311,0.42532745003700256
1761644371.379282,-0.01343527187632234,-0.016083741924804943,-0.5135360730494404,0.8578120301362846,-0.0065307587749051715,-0.04140536078115976,-1.07899956722911,-0.04139263555407524,0.006530689541250467,-0.9991216063499451,-0.030982758849859238,-0.04947391897439957,0.11155372858047485,-0.3757055997848511,0.12768606841564178,0.38407087326049805
1761644371.421855,-0.016949003747196482,-0.011990939402726027,-0.510349661601701,0.8597163093886407,-0.01690433124111777,-0.03793196286013346,-1.0717592234911348,-0.03791743516921997,0.016903502866625786,-0.9991378784179688,-0.02696896716952324,-0.03918930143117905,0.11223703622817993,-0.6322981715202332,0.20423677563667297,0.37036630511283875
1761644371.4307961,-0.022051435491736292,-0.006150310253249413,-0.5074106383472115,0.8614001719620883,-0.03175409106990392,-0.03299664109521686,-1.0651870823748144,-0.0329740084707737,0.031748734414577484,-0.99895179271698,-0.009984515607357025,-0.051934659481048584,0.10469722747802734,-0.8084609508514404,0.29761189222335815,0.33832836151123047
1761644371.452029,-0.027822128402232773,0.0013697531059032077,-0.5046147405679503,0.8628950592306864,-0.04941766088612556,-0.025749282509793525,-1.0589615202093914,-0.025714991614222527,0.04939752817153931,-0.9984481334686279,-0.004305247217416763,-0.03822573646903038,0.056391239166259766,-0.9456970691680908,0.3775733709335327,0.3351932168006897
1761644371.454733,-0.03463130739013118,0.010112653267102856,-0.5018084190529352,0.8642259812497742,-0.07006509254149412,-0.017320689015665008,-1.0527393684093251,-0.017277313396334648,0.07000776380300522,-0.9973968267440796,0.00046292878687381744,-0.01207592710852623,0.03047400712966919,-1.1058913469314575,0.42330437898635864,0.32997506856918335
1761644371.484095,-0.042407437205117304,0.019974068833737653,-0.4988460551615576,0.8654220265162138,-0.0934646508916893,-0.007771565248735901,-1.0461641731235518,-0.007737553212791681,0.09332861006259918,-0.9956052899360657,-0.003946378827095032,-0.013698667287826538,0.010540366172790527,-1.2137928009033203,0.46390271186828613,0.36457589268684387
1761644371.513304,-0.05083331669361427,0.030429012601868366,-0.49541173718759557,0.8666355755475967,-0.11853508724671373,0.002391671006131923,-1.0384832426963462,0.002374900970607996,0.11825768649578094,-0.9929801225662231,0.01197822019457817,0.023728705942630768,-0.028651952743530273,-1.2865731716156006,0.45581310987472534,0.39853060245513916
1761644371.521409,-0.06032456984132279,0.04064289848240457,-0.4919214210726562,0.8675957540533169,-0.14517026523896914,0.011292334334179364,-1.030772070685644,0.011173331178724766,0.14466089010238647,-0.9894182085990906,0.05386534333229065,0.1400878131389618,-0.0589328408241272,-1.3600765466690063,0.2991414964199066,0.2909446358680725
1761644371.544513,-0.0717041460116819,0.04995831691270566,-0.4898079775424516,0.8674392015899144,-0.17421790901062625,0.016682372653900324,-1.0266001747153228,0.016429094597697258,0.173337921500206,-0.9847253561019897,0.04360010847449303,0.05036523938179016,-0.026637494564056396,-1.610520839691162,0.20000821352005005,0.15167108178138733
