Timestamp,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ
1761643745.469307,2.153749590674939e-05,-0.0011862747801063,0.0001044297113724,0.0141776092180317,-0.0056523639630678,0.0266684922038856
1761643745.4876552,6.8617329146063964e-06,-0.0013322351570965,-4.97958827922623e-06,0.0144063570489649,-0.0072722193065807,0.0259989082512563
1761643745.497042,-1.9803334338072283e-06,-0.0015327385905628,-0.0001117542985598,0.014391571027986,-0.0088774487825915,0.0251645120883681
1761643745.499238,-3.226948035094197e-06,-0.0018427510750548,-0.0002207219157608,0.0140129266730074,-0.0104312032895871,0.0240403309064919
1761643745.530301,-2.226050194733303e-06,-0.0022481455450851,-0.0003371548679991,0.0133014693217439,-0.0118874401127981,0.0225540500201002
1761643745.538563,-1.0428709477707036e-05,-0.0025871967928531,-0.000457179377493,0.0124526522011742,-0.0131852717803525,0.0207504410648159
1761643745.544983,-3.927733343652384e-05,-0.0025896319911554,-0.0005695630147188,0.0117813772025689,-0.0142505135261567,0.0188588535537341
1761643745.5829291,-9.265132407710572e-05,-0.0020703081222317,-0.0006667596311139,0.0116239151590024,-0.015008425031607,0.0173176312465798
1761643745.591761,-0.0001653899559488,-0.0011343297141508,-0.0007507407971866,0.0122099905821141,-0.0154050911472378,0.0167071512855808
1761643745.6463351,-0.0002510634262554,-0.000181816397988,-0.0008287696046646,0.0135514822358047,-0.0154307119244724,0.0175733429313909
1761643745.658399,-0.0003511418374849,0.000344223032527,-0.0009063701040718,0.0154081983211321,-0.0151377377335944,0.0201838411827732
1761643745.6667309,-0.0004725925247792,0.000263301493121,-0.0009839680513371,0.0173709788765878,-0.0146475306109665,0.0243213709979019
1761643745.7025828,-0.0006122892892711,-0.0002682861507462,-0.001057506141893,0.0190391384772568,-0.0141397565742703,0.0292367288479
1761643745.711235,-0.0007454696965177,-0.0009731360646363,-0.0011208597128169,0.020198939908699,-0.0138219783595954,0.0338248090375612
1761643745.717973,-0.0008365309098285,-0.0017219612161927,-0.0011696181487948,0.020893809102075,-0.0138857681774906,0.0369704319201359
1761643745.763771,-0.0008656858743066,-0.0025822488511528,-0.0012050278106071,0.0213371280888419,-0.0144657258429001,0.0379082174456447
1761643745.774078,-0.0008430338748906,-0.003626452908912,-0.0012314749737602,0.0217099375510956,-0.0156186649816041,0.0364295888759234
1761643745.781441,-0.0007928448088441,-0.0047474027098649,-0.0012463700571787,0.0219509753833195,-0.0173273205374939,0.0328646889987021
1761643745.8274431,-0.0007253431791297,-0.0057030615690504,-0.00123994022825,0.021665803284835,-0.0195156097971868,0.0278981487298968
1761643745.831357,-0.000630974913985,-0.006318720351847,-0.0012146838267242,0.0202552414653091,-0.0220566160412656,0.0223489996279859
1761643745.833844,-0.0005078691453843,-0.0065922606566308,-0.0011892693919802,0.0172791817438095,-0.0247668724007206,0.0170152367179245
1761643745.883702,-0.0003897877690862,-0.0066072231825147,-0.0011557851433236,0.0129306310132831,-0.0274013852144399,0.0125957985078329
1761643745.895551,-0.0003344045824409,-0.0064072080629152,-0.0010581822180831,0.0083497559129806,-0.0296745710877535,0.0096395318746572
1761643745.9033751,-0.0003778941888361,-0.0059821928531076,-0.0008792824874731,0.005457509930263,-0.0313220170577736,0.0084770101011416
1761643745.943826,-0.0005061465774413,-0.0053105860382655,-0.0007129697616949,0.0061248619591215,-0.0321919259795473,0.0091412844707715
1761643745.9538388,-0.000677040944879,-0.0043185324817809,-0.0005896411339238,0.0108379800829735,-0.0323274769985073,0.0113226751551406
1761643745.9563231,-0.0008687102550083,-0.002809077680191,-0.0002525376310547,0.0174713125883605,-0.0319855511310021,0.0144029730867445
1761643746.003869,-0.0010945987238009,-0.0005974759637838,0.0005381545442032,0.0211057762612449,-0.031545000485891,0.0175848523811347
1761643746.0143151,-0.0013605060103747,0.002134672928818,0.0013954125063864,0.0157318226507062,-0.0312981379801985,0.0200897554388723
